time_min,dex_price,supply,oracle_price,regime,bad_debt_cumulative,usdc_pool,allocator_inflow,arb_borrow
73.8000000000,0.0343273145,152000000.0000000000,0.0382393628,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
74.0000000000,0.0344931446,152000000.0000000000,0.0384180369,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
74.2000000000,0.0346611773,152000000.0000000000,0.0385994237,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
74.4000000000,0.0348313456,152000000.0000000000,0.0387834506,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
74.6000000000,0.0350035812,152000000.0000000000,0.0389700441,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
74.8000000000,0.0351778153,152000000.0000000000,0.0391591294,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
75.0000000000,0.0353539782,152000000.0000000000,0.0393506311,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
75.2000000000,0.0355319995,152000000.0000000000,0.0395444724,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
75.4000000000,0.0357118079,152000000.0000000000,0.0397405758,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
75.6000000000,0.0358933315,152000000.0000000000,0.0399388630,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
75.8000000000,0.0360764978,152000000.0000000000,0.0401392545,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
76.0000000000,0.0362612334,152000000.0000000000,0.0403416702,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
76.2000000000,0.0364474644,152000000.0000000000,0.0405460293,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
76.4000000000,0.0366351164,152000000.0000000000,0.0407522498,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
76.6000000000,0.0368241143,152000000.0000000000,0.0409602494,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
76.8000000000,0.0370143826,152000000.0000000000,0.0411699448,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
77.0000000000,0.0372058450,152000000.0000000000,0.0413812522,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
77.2000000000,0.0373984251,152000000.0000000000,0.0415940871,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
77.4000000000,0.0375920457,152000000.0000000000,0.0418083642,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
77.6000000000,0.0377866296,152000000.0000000000,0.0420239980,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
77.8000000000,0.0379820987,152000000.0000000000,0.0422409022,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
78.0000000000,0.0381783750,152000000.0000000000,0.0424589899,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
78.2000000000,0.0383753798,152000000.0000000000,0.0426781740,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
78.4000000000,0.0385730346,152000000.0000000000,0.0428983668,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
78.6000000000,0.0387712600,152000000.0000000000,0.0431194802,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
78.8000000000,0.0389699770,152000000.0000000000,0.0433414258,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
79.0000000000,0.0391691060,152000000.0000000000,0.0435641148,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
79.2000000000,0.0393685673,152000000.0000000000,0.0437874582,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
79.4000000000,0.0395682811,152000000.0000000000,0.0440113665,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
79.6000000000,0.0397681677,152000000.0000000000,0.0442357503,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
79.8000000000,0.0399681470,152000000.0000000000,0.0444605197,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
80.0000000000,0.0401681390,152000000.0000000000,0.0446855850,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
80.2000000000,0.0403680638,182000000.0000000000,0.0449108560,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
80.4000000000,0.0300000000,182000000.0000000000,0.0422446684,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
80.6000000000,0.0300000000,182000000.0000000000,0.0402240761,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
80.8000000000,0.0300000000,182000000.0000000000,0.0386927534,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
81.0000000000,0.0300000000,182000000.0000000000,0.0375322279,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
81.2000000000,0.0300000000,182000000.0000000000,0.0366527140,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
81.4000000000,0.0300000000,182000000.0000000000,0.0359861671,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
81.6000000000,0.0300000000,182000000.0000000000,0.0354810190,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
81.8000000000,0.0300000000,182000000.0000000000,0.0350981884,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
82.0000000000,0.0300000000,182000000.0000000000,0.0348080570,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
82.2000000000,0.0300000000,182000000.0000000000,0.0345881785,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
82.4000000000,0.0300000000,182000000.0000000000,0.0344215418,1.0000000000,831429.0090039906,3000000.0000000000,0.0000000000,0.0000000000
