time_min,dex_price,supply,oracle_price,regime,bad_debt_cumulative,usdc_pool,allocator_inflow,arb_borrow
70.8000000000,0.0321469705,152000000.0000000000,1.1300000000,0.0000000000,4409579.3519248236,615000.0000000000,0.0000000000,15000.0000000000
71.0000000000,0.0322723551,152000000.0000000000,1.1300000000,0.0000000000,4424095.2665979574,600000.0000000000,0.0000000000,15000.0000000000
71.2000000000,0.0324008307,152000000.0000000000,1.1300000000,0.0000000000,4438609.2541372366,630000.0000000000,45000.0000000000,15000.0000000000
71.4000000000,0.0325323459,152000000.0000000000,1.1300000000,0.0000000000,4453121.2689491669,615000.0000000000,0.0000000000,15000.0000000000
71.6000000000,0.0326668480,152000000.0000000000,1.1300000000,0.0000000000,4467631.2662293166,600000.0000000000,0.0000000000,15000.0000000000
71.8000000000,0.0328042833,152000000.0000000000,1.1300000000,0.0000000000,4482139.2019802397,630000.0000000000,45000.0000000000,15000.0000000000
72.0000000000,0.0329445967,152000000.0000000000,1.1300000000,0.0000000000,4496645.0330290757,615000.0000000000,0.0000000000,15000.0000000000
72.2000000000,0.0330877323,152000000.0000000000,1.1300000000,0.0000000000,4511148.7170448154,600000.0000000000,0.0000000000,15000.0000000000
72.4000000000,0.0332336326,152000000.0000000000,1.1300000000,0.0000000000,4525650.2125552353,630000.0000000000,45000.0000000000,15000.0000000000
72.6000000000,0.0333822395,152000000.0000000000,1.1300000000,0.0000000000,4540149.4789634841,615000.0000000000,0.0000000000,15000.0000000000
72.8000000000,0.0335334933,152000000.0000000000,1.1300000000,0.0000000000,4554646.4765643226,600000.0000000000,0.0000000000,15000.0000000000
73.0000000000,0.0336873336,152000000.0000000000,1.1300000000,0.0000000000,4569141.1665600035,630000.0000000000,45000.0000000000,15000.0000000000
73.2000000000,0.0338436989,152000000.0000000000,1.1300000000,0.0000000000,4583633.5110757910,615000.0000000000,0.0000000000,15000.0000000000
73.4000000000,0.0340025267,152000000.0000000000,1.1300000000,0.0000000000,4598123.4731751103,600000.0000000000,0.0000000000,15000.0000000000
73.6000000000,0.0341637534,152000000.0000000000,1.1300000000,0.0000000000,4612611.0168743208,630000.0000000000,45000.0000000000,15000.0000000000
73.8000000000,0.0343273145,152000000.0000000000,1.1300000000,0.0000000000,4627096.1071571102,615000.0000000000,0.0000000000,15000.0000000000
74.0000000000,0.0344931446,152000000.0000000000,1.1300000000,0.0000000000,4641578.7099885000,600000.0000000000,0.0000000000,15000.0000000000
74.2000000000,0.0346611773,152000000.0000000000,1.1300000000,0.0000000000,4656058.7923284583,630000.0000000000,45000.0000000000,15000.0000000000
74.4000000000,0.0348313456,152000000.0000000000,1.1300000000,0.0000000000,4670536.3221451174,615000.0000000000,0.0000000000,15000.0000000000
74.6000000000,0.0350035812,152000000.0000000000,1.1300000000,0.0000000000,4685011.2684275853,600000.0000000000,0.0000000000,15000.0000000000
74.8000000000,0.0351778153,152000000.0000000000,1.1300000000,0.0000000000,4699483.6011983473,630000.0000000000,45000.0000000000,15000.0000000000
75.0000000000,0.0353539782,152000000.0000000000,1.1300000000,0.0000000000,4713953.2915252596,615000.0000000000,0.0000000000,15000.0000000000
